Id,y
50100,1.7093016
50101,2.2065797
50102,1.4855695
50103,2.1544168
50104,1.6636114
50105,1.7430129
50106,1.933522
50107,2.5964682
50108,1.9756405
50109,1.769745
50110,1.2735479
50111,1.7501783
50112,1.7920502
50113,1.5721889
50114,1.9259448
50115,1.9902917
50116,1.421704
50117,1.9920591
50118,2.0239096
50119,1.5051248
50120,2.261606
50121,2.2563844
50122,0.8512192
50123,2.0808468
50124,1.4457375
50125,2.080689
50126,1.4083627
50127,1.7103239
50128,1.7574981
50129,1.8759226
50130,1.9555764
50131,2.0105634
50132,1.5669982
50133,1.751823
50134,1.8499774
50135,2.2628248
50136,1.5512614
50137,1.6936077
50138,1.6641834
50139,1.8288096
50140,1.9222637
50141,2.4147103
50142,1.9788573
50143,1.4178147
50144,1.7155576
50145,1.916811
50146,1.7375282
50147,2.2414563
50148,1.9504942
50149,1.5912762
50150,1.5537512
50151,1.8298037
50152,1.747735
50153,2.0740683
50154,2.1495414
50155,2.253401
50156,2.1362605
50157,1.0759923
50158,2.063221
50159,1.1467643
50160,1.5492301
50161,2.1952186
50162,2.2901645
50163,1.9831517
50164,1.8236532
50165,1.3622098
50166,1.4397671
50167,1.7916915
50168,1.6821198
50169,0.87927634
50170,2.0212162
50171,2.1193411
50172,1.484064
50173,2.003826
50174,2.0622149
50175,1.3411883
50176,2.6457152
50177,2.2627769
50178,2.239177
50179,2.0446534
50180,2.2235885
50181,1.8242148
50182,2.0163774
50183,1.5270467
50184,2.3104703
50185,1.4940953
50186,2.167731
50187,2.2418277
50188,2.3432178
50189,2.0997584
50190,2.560494
50191,2.3242736
50192,2.110774
50193,2.02728
50194,1.7619717
50195,1.5934519
50196,1.8949896
50197,1.8792857
50198,1.9915167
50199,2.164772
50200,1.7401587
50201,2.5668752
50202,1.6172551
50203,1.7066264
50204,1.7362876
50205,1.2883277
50206,1.7722379
50207,2.0458
50208,1.6598958
50209,1.6074117
50210,2.1610684
50211,1.3364475
50212,2.098561
50213,2.1539946
50214,1.8093667
50215,1.3388512
50216,1.2739937
50217,1.6239798
50218,1.7795241
50219,2.0812054
50220,2.3930151
50221,2.043191
50222,1.9904728
50223,1.7664802
50224,1.2770369
50225,2.2152793
50226,1.7705079
50227,2.1242967
50228,1.6933049
50229,2.0469615
50230,1.792584
50231,1.6741865
50232,2.1556206
50233,2.2736
50234,1.6918275
50235,1.2814611
50236,1.7035905
50237,1.6468767
50238,1.6765702
50239,2.0778577
50240,1.9724996
50241,1.206053
50242,2.2054548
50243,1.9746865
50244,1.2734058
50245,1.674737
50246,2.1381173
50247,1.3472049
50248,2.804974
50249,2.2370014
50250,2.1850011
50251,1.706603
50252,2.2475345
50253,2.168101
50254,1.9932034
50255,1.5494318
50256,2.002397
50257,1.9857248
50258,1.6940765
50259,2.0885594
50260,0.98517025
50261,2.1951933
50262,1.6640248
50263,1.5623493
50264,1.1867228
50265,1.750277
50266,1.619253
50267,2.1443424
50268,1.8302232
50269,1.4797791
50270,2.1547346
50271,2.055493
50272,2.2928302
50273,2.4730718
50274,2.0187953
50275,1.2681386
50276,2.266946
50277,1.7948401
50278,1.4681978
50279,1.5907564
50280,2.1921427
50281,1.4572582
50282,2.2043598
50283,1.9414021
50284,1.922628
50285,1.5446855
50286,2.1429076
50287,2.5904222
50288,2.0998511
50289,1.6082124
50290,2.0175948
50291,2.3071225
50292,1.5803945
50293,2.2101982
50294,1.6874328
50295,2.0054317
50296,2.41581
50297,1.6189698
50298,1.7388564
50299,2.2777777
50300,1.7603413
50301,1.8958311
50302,2.2671256
50303,2.0106258
50304,1.6618556
50305,1.1528798
50306,1.2891095
50307,1.8957504
50308,2.2125316
50309,1.2773647
50310,2.254366
50311,1.674232
50312,2.3750381
50313,2.1356099
50314,1.6374396
50315,1.7313871
50316,1.3067256
50317,1.3135772
50318,2.4097378
50319,1.9753973
50320,2.0335355
50321,2.0850203
50322,2.1909306
50323,1.4191887
50324,2.0310497
50325,1.877837
50326,2.2010865
50327,1.8863404
50328,1.8083171
50329,1.8533877
50330,1.6105386
50331,1.7664043
50332,1.6363302
50333,1.6574723
50334,1.8521209
50335,1.4677927
50336,1.9400642
50337,1.3482728
50338,2.0766578
50339,1.8346575
50340,1.7627397
50341,1.4739535
50342,1.9711564
50343,1.5024831
50344,1.6730343
50345,2.2065294
50346,0.94897735
50347,2.253602
50348,2.1099372
50349,1.2785171
50350,1.9517758
50351,1.9527016
50352,1.8440193
50353,1.6297604
50354,1.5068324
50355,1.7705903
50356,1.8258352
50357,1.7978343
50358,1.9620268
50359,1.697047
50360,1.8019825
50361,1.7793984
50362,1.6831247
50363,1.865492
50364,1.7414854
50365,1.7077466
50366,2.2712715
50367,1.5036027
50368,2.2122846
50369,2.371269
50370,2.5957134
50371,2.1026638
50372,1.8921514
50373,2.039222
50374,1.7682327
50375,1.6677935
50376,2.1591363
50377,1.3416098
50378,2.0888717
50379,1.6653467
50380,1.8502806
50381,1.8523912
50382,2.1322107
50383,1.9788225
50384,1.7745011
50385,2.0501714
50386,1.409349
50387,2.0804193
50388,1.4651669
50389,2.0975244
50390,1.4717882
50391,1.9096658
50392,1.9120696
50393,1.9182615
50394,1.8764741
50395,1.7923493
50396,2.1446016
50397,1.4085938
50398,1.5329832
50399,1.7209935
50400,2.0125344
50401,1.4099269
50402,1.5547602
50403,1.9747418
50404,1.8014377
50405,2.16864
50406,2.2045658
50407,2.01287
50408,1.9873722
50409,1.8513212
50410,1.5349499
50411,2.0726576
50412,2.19083
50413,1.8108665
50414,1.6635897
50415,1.2838206
50416,1.6415805
50417,1.5905615
50418,1.886865
50419,2.0498867
50420,1.8341788
50421,2.2642536
50422,1.8799893
50423,2.2821174
50424,1.4445693
50425,1.9616468
50426,1.8882346
50427,1.9830117
50428,1.9813333
50429,1.8521214
50430,2.0519001
50431,1.9049958
50432,1.8304303
50433,1.4258733
50434,2.1424527
50435,2.3519197
50436,1.8431559
50437,1.9461315
50438,1.0491326
50439,1.6550791
50440,1.7090298
50441,2.1984577
50442,2.3974402
50443,1.7250882
50444,1.6642002
50445,1.1706214
50446,1.8206068
50447,1.3758407
50448,1.2808911
50449,2.173583
50450,1.9665365
50451,2.328513
50452,2.3323317
50453,2.4634628
50454,2.0748467
50455,1.9562726
50456,1.6234827
50457,1.3899059
50458,1.9859687
50459,1.7476785
50460,2.1132746
50461,1.8696694
50462,1.9314048
50463,2.0675042
50464,1.4607124
50465,1.493262
50466,1.0629032
50467,2.1663442
50468,2.0872476
50469,1.5460491
50470,1.3953545
50471,1.9362586
50472,1.7679213
50473,1.6888373
50474,1.8524461
50475,1.8580556
50476,1.596155
50477,2.0691688
50478,2.2051852
50479,2.2622974
50480,1.8442597
50481,1.9340678
50482,2.432305
50483,1.4233936
50484,1.8419683
50485,1.3448192
50486,2.1996324
50487,2.136721
50488,1.9250522
50489,1.9693202
50490,1.7326013
50491,2.4381332
50492,2.0372262
50493,2.1107779
50494,2.2444854
50495,1.3553085
50496,1.6325525
50497,1.8376194
50498,1.8634357
50499,1.3017411
50500,1.6029028
50501,1.7634556
50502,1.5164971
50503,1.7767167
50504,1.4739411
50505,1.8829087
50506,1.5813382
50507,2.245554
50508,2.0617707
50509,1.3282708
50510,1.5898776
50511,1.6164072
50512,1.966168
50513,2.2603
50514,2.105627
50515,1.5430226
50516,2.0729208
50517,1.993268
50518,1.2100385
50519,1.225823
50520,1.9142389
50521,1.7706258
50522,1.978008
50523,1.5374312
50524,2.2855835
50525,1.6686792
50526,1.8454047
50527,1.8961712
50528,1.9218843
50529,1.1828399
50530,1.764089
50531,1.8548894
50532,2.4495254
50533,1.5063399
50534,1.6556561
50535,2.06558
50536,1.7200532
50537,1.9474336
50538,2.1988835
50539,1.9523406
50540,2.57757
50541,1.9307888
50542,1.4854969
50543,1.2839856
50544,1.844031
50545,1.8387167
50546,2.2648325
50547,1.9135829
50548,2.2712274
50549,1.8023521
50550,1.5825567
50551,1.9380912
50552,1.4788029
50553,1.7554417
50554,2.2184467
50555,1.918075
50556,1.4669893
50557,2.3308723
50558,1.7146878
50559,2.0618317
50560,1.5302371
50561,1.8696891
50562,2.169092
50563,1.8681712
50564,2.2535884
50565,2.3158822
50566,1.944881
50567,2.2678766
50568,1.442662
50569,1.579483
50570,1.6816162
50571,2.4999454
50572,1.8979543
50573,1.72272
50574,1.3881335
50575,1.9032625
50576,1.6058476
50577,1.7797985
50578,1.9847118
50579,2.03182
50580,1.9045548
50581,1.8237427
50582,2.3436694
50583,2.0215356
50584,1.4239721
50585,1.9911746
50586,2.0587702
50587,1.4600319
50588,2.3239985
50589,2.0463102
50590,1.7707735
50591,2.3253908
50592,2.2621155
50593,2.0425377
50594,2.0151138
50595,1.3557453
50596,2.085005
50597,1.7732841
50598,1.4132984
50599,1.9949847
50600,1.5937643
50601,1.9126902
50602,2.3448088
50603,1.3435392
50604,1.3481226
50605,1.5998372
50606,1.6481369
50607,2.033623
50608,2.2806613
50609,2.1460247
50610,2.3073025
50611,1.9656665
50612,1.8771088
50613,2.1896935
50614,1.3868439
50615,1.76137
50616,1.9040318
50617,1.922986
50618,1.7506527
50619,2.1683507
50620,1.2268417
50621,1.4628037
50622,2.00994
50623,2.128301
50624,1.9973626
50625,1.7075735
50626,1.9282106
50627,1.9843313
50628,2.05191
50629,1.6423162
50630,2.33108
50631,1.6407983
50632,1.9200251
50633,2.3298593
50634,2.0127769
50635,1.809997
50636,2.274024
50637,1.5793471
50638,2.179497
50639,1.7692461
50640,1.8490833
50641,2.2747145
50642,2.069452
50643,1.608886
50644,1.4108596
50645,1.7319587
50646,1.8737339
50647,1.9527421
50648,1.0922816
50649,1.6650038
50650,1.9159505
50651,1.4772246
50652,2.1724358
50653,1.8287448
50654,2.1077263
50655,1.7350096
50656,1.6424359
50657,1.213426
50658,1.439384
50659,2.1612542
50660,2.0671089
50661,1.9758143
50662,1.6132513
50663,1.848938
50664,2.2241712
50665,1.6289809
50666,1.7318677
50667,1.9091651
50668,1.187833
50669,2.3006115
50670,1.6164833
50671,1.9594485
50672,1.6036875
50673,1.1162751
50674,2.1308126
50675,2.0691872
50676,2.3025186
50677,1.6511854
50678,1.9257452
50679,1.8868488
50680,2.0819106
50681,1.8500482
50682,1.226001
50683,2.1122725
50684,1.9715797
50685,1.5878841
50686,1.4815018
50687,1.9865394
50688,1.426928
50689,1.9698043
50690,2.2058399
50691,1.9836117
50692,1.6708467
50693,1.5091271
50694,2.255494
50695,2.216809
50696,2.4064264
50697,1.0549604
50698,1.4877334
50699,2.2945879
50700,1.3726609
50701,1.9471825
50702,1.2273717
50703,2.3679497
50704,1.927323
50705,1.7467924
50706,1.1578408
50707,1.7010431
50708,1.527494
50709,1.6078092
50710,2.5069442
50711,1.4494076
50712,1.8837659
50713,1.7282678
50714,1.7726582
50715,1.4093835
50716,1.111954
50717,1.7545929
50718,2.1920214
50719,2.415966
50720,1.3843436
50721,1.5833912
50722,1.7995201
50723,1.1545591
50724,1.8964695
50725,1.443835
50726,1.410531
50727,1.9250357
50728,2.0340457
50729,1.8713845
50730,1.4842279
50731,1.6000385
50732,2.1067984
50733,0.79019475
50734,1.2802285
50735,2.0954733
50736,1.5072546
50737,1.5418073
50738,1.8279741
50739,1.9187367
50740,1.6994753
50741,1.8079088
50742,1.7414783
50743,2.2357218
50744,1.8671916
50745,1.4237947
50746,1.5267243
50747,1.9917216
